X,Y,Id
6778700,412600,1034529
6795600,441100,3575129
6794500,452200,3405857
6787200,447300,269412
6794100,436700,525457
6794700,451800,365773
6795300,442300,2126170
6780700,430200,2095549
6775700,455900,3341452
6793800,436800,2386657
6793700,437000,3806896
6794100,452100,659250
6793600,435300,2875740
6775800,455800,33079
6778300,443100,802287
6771900,429300,731376
6792500,446100,270793
6793700,436500,697694
6793800,436800,2127162
6787000,440700,626863
6793800,436800,2030789
6794500,451900,3542069
6794500,435200,2031140
6794500,441600,2945193
6793800,436700,2387428
6793900,436700,1998393
6765700,433400,3646935
6775800,455800,2648648
6794400,435700,627294
6795400,441200,335478
6793800,436800,1727856
6794300,452300,2779168
6793700,436500,699744
6794100,436700,2812056
6793200,436300,1006108
6794200,452800,3215998
6794900,441500,3579095
6794400,436500,2549041
6794200,437100,528599
6793900,437000,2388896
6794400,452100,2614932
6794200,453000,1238908
6794100,436500,733505
6794100,435900,3247073
6805600,468100,2326724
6768100,464500,3444380
6793900,436500,1271799
6793900,437000,1832656
6794300,437700,3081801
6793000,450200,907786
6794300,435800,1967320
6795200,442500,734987
6792500,446200,5454
6793900,437000,1341080
6794100,451500,1307809
6794800,442100,1538800
6794200,451500,664897
6804200,425900,2002462
6794500,451400,241813
6794900,441500,1802159
6794500,451400,2163420
6794200,452100,2915245
6787200,447300,2720238
6794100,451800,2518791
6794600,451800,2068605
6795000,441500,309719
6794200,451500,3020307
6794100,437400,3250407
6794000,436400,1043348
6794000,436500,1803295
6793600,435300,3515403
6794200,453000,911468
6793900,436600,977568
6779900,442500,7778
6793700,436800,3220520
6793900,436800,1443184
6795300,440600,668046
6777300,443900,1142087
6794300,437700,277862
6794100,437000,2199693
6793800,437200,2488418
6794400,452100,2586709
6796100,433500,1410350
6794300,452200,2331698
6793900,436600,3286723
6793700,436900,343391
6775500,456600,3848436
6793800,446200,1278016
6787600,447100,1903485
6772900,433900,843992
6793800,436800,2954054
6794000,436500,3088694
6793700,436800,1313120
6795200,441300,2754589
6794300,436000,3517577
6795400,441600,3055535
6796100,433500,3451415
6794600,451800,3223628
6779000,443600,2490298
6794100,451500,1939048
6771900,429300,2168330
6794000,436500,1514195
6775800,455800,1280155
6795300,440600,2855042
6799300,435100,1939572
6794100,436600,1514580
6794900,441600,3057253
6796100,433500,3657328
6795000,441500,2462148
6793300,449100,281270
6793000,445400,1181323
6794300,436400,571045
6794000,437200,346005
6794200,452100,814122
6787000,447600,46287
6794400,435700,3453821
6794100,436700,2205477
6777300,440500,1382487
6804700,455700,2525997
6786800,447700,3556453
6794400,436500,3161407
6793800,446200,3590617
6787400,447400,1116080
6795400,441500,2272857
6795200,441200,283658
6787600,447100,1908161
6794500,451800,1450064
6794300,436700,2791299
6793800,436900,1050555
6794300,452000,950794
6793600,445900,1978195
6794500,441600,2274175
6804700,469300,2759623
6798100,429700,382832
6793700,437000,2960157
6794800,442000,1451449
6794600,436600,1709534
6793700,436700,383941
6794800,442000,2013474
6794400,452900,1812322
6794200,436100,2306422
6795500,441400,3559255
6794100,451500,643039
6794400,436100,1550490
6798400,442200,3662341
6794200,452800,1649529
6794100,436600,2208885
6793400,435900,3824261
6795200,441200,2112981
6795000,452100,318340
6794100,437100,2827274
6793700,437000,610098
6794100,436500,2113142
6792700,445700,1152152
6795200,442000,3695977
6794000,451800,1520611
6771100,417900,1221634
6793800,446200,1650777
6794000,452200,449849
6794300,452100,2437789
6772900,433900,2828147
6794000,436400,921693
6794100,436600,481342
6794100,451500,2828208
6794600,436600,416982
6787200,447300,2244766
6775500,456600,3327054
6786100,441000,2597393
6793800,436900,2244841
6794700,451900,1055195
6795200,451900,2308126
6786800,440700,1120266
6777700,444000,2733085
6787000,447500,545594
6796100,436000,3562019
6792700,445700,221748
6795400,441200,1522487
6794200,451500,2016425
6794200,436400,1783172
6793600,445900,751862
6795700,441200,2308941
6793900,436600,3424883
6795000,441500,1055706
6794500,451400,321123
6795000,452100,3232236
6795100,441400,2177951
6798400,429100,2016869
6794700,451800,3167830
6794800,436700,3460740
6775700,455900,2468402
6796100,433500,3632642
6794200,452800,1783903
6793800,437200,54456
6794800,436500,3563484
6794400,452200,1619942
6793900,436600,1914413
6779900,442500,1714827
6793300,449100,3330335
6794500,451400,2311302
6794100,436800,3763781
6795400,441600,3330584
6793800,436800,2831703
6794000,437200,823701
6795100,442600,2932065
6795200,442500,2248163
6794400,452900,3101815
6793800,436800,453226
6794200,452100,1849823
6793900,436200,2312014
6791300,450100,421866
6787600,447100,224626
6778300,443100,515464
6788700,447200,2375542
6794100,451800,1357848
6795100,436800,3265337
6794900,441600,3265359
6794200,453000,1819344
6794100,451500,225698
6788700,447200,1622721
6795400,441800,2800630
6794100,451500,1391746
6777700,444000,1027608
6807000,456600,1717014
6793700,437000,893555
6794100,452000,826369
6794700,451900,3301205
6794400,436500,960721
6794300,452300,1360162
6787000,447600,3669596
6794000,437200,359211
6792100,452000,2770065
6794300,436500,295189
6777700,444000,3268915
6795000,451900,424466
6796200,441000,687590
6794300,436700,424958
6795500,441400,1624603
6796100,436000,193963
6794000,436400,1295681
6794100,436700,1989751
6794200,437100,895808
6793900,436600,488828
6794100,435900,2868089
6794200,436800,94189
6794500,437200,2540403
6794900,441500,1296687
6772800,433900,1921289
6794100,437100,1128039
6793800,436900,2446036
6794500,451900,3108355
6794100,436600,2413295
6794300,435800,1756872
6793800,436900,2772650
6794100,435900,28615
6794700,434100,163539
6795100,441400,3571446
6796200,441000,3769297
6794100,452000,797593
6798400,442200,2122452
6804700,455700,2350145
6794100,437200,760230
6793900,437000,2350169
6794300,452200,28882
6794000,451800,459824
6793700,436900,654703
6794800,451800,3801954
6794500,451800,2906078
6787400,447400,1064858
6795000,452100,1365517
6794200,437100,1661906
6794100,437000,3337793
6779700,443400,164455
6787200,447300,3239963
6793700,437000,1263680
6794100,451800,1890414
6794100,437400,1131423
6798100,429700,3741612
6794300,436000,900563
6795600,441100,1399078
6794100,451500,2975798
6794100,437400,3574467
6792200,448100,1629093
6795000,452100,3042779
6794300,437700,2155484
